====iter_13300: fit=1.4344, reg=0.9906, thom=-6.9213, thomf=-7.0032, acc=0.6016
====iter_13400: fit=1.7080, reg=0.9954, thom=-6.9213, thomf=-7.0027, acc=0.5391
====iter_13500: fit=1.5884, reg=0.9968, thom=-6.9213, thomf=-7.0030, acc=0.5547
====iter_13600: fit=1.5585, reg=0.9993, thom=-6.9209, thomf=-7.0019, acc=0.5547
====iter_13700: fit=1.7144, reg=1.0011, thom=-6.9210, thomf=-7.0025, acc=0.5703
====iter_13800: fit=1.3588, reg=1.0037, thom=-6.9211, thomf=-7.0026, acc=0.5938
====iter_13900: fit=1.5805, reg=1.0070, thom=-6.9213, thomf=-7.0022, acc=0.5781
====iter_14000: fit=1.8219, reg=1.0064, thom=-6.9212, thomf=-7.0021, acc=0.5078
====iter_14100: fit=1.4792, reg=1.0094, thom=-6.9213, thomf=-7.0025, acc=0.6016
====iter_14200: fit=1.6097, reg=1.0124, thom=-6.9211, thomf=-7.0024, acc=0.6172
====iter_14300: fit=1.6796, reg=1.0134, thom=-6.9214, thomf=-7.0029, acc=0.5703
====iter_14400: fit=1.7983, reg=1.0122, thom=-6.9214, thomf=-7.0020, acc=0.5312
====iter_14500: fit=1.5060, reg=1.0142, thom=-6.9218, thomf=-7.0030, acc=0.5859
====iter_14600: fit=1.8126, reg=1.0162, thom=-6.9219, thomf=-7.0030, acc=0.5469
====iter_14700: fit=1.4110, reg=1.0161, thom=-6.9215, thomf=-7.0030, acc=0.6328
====iter_14800: fit=1.8589, reg=1.0171, thom=-6.9216, thomf=-7.0026, acc=0.5156
====iter_14900: fit=1.7250, reg=1.0177, thom=-6.9216, thomf=-7.0029, acc=0.4766
====iter_15000: fit=1.4204, reg=1.0189, thom=-6.9217, thomf=-7.0031, acc=0.6094
====iter_15100: fit=1.2588, reg=1.0202, thom=-6.9214, thomf=-7.0031, acc=0.6641
====iter_15200: fit=1.4083, reg=1.0169, thom=-6.9216, thomf=-7.0025, acc=0.5781
====iter_15300: fit=1.5705, reg=1.0177, thom=-6.9219, thomf=-7.0035, acc=0.5703
====iter_15400: fit=1.3542, reg=1.0206, thom=-6.9217, thomf=-7.0025, acc=0.6328
====iter_15500: fit=1.5312, reg=1.0211, thom=-6.9219, thomf=-7.0029, acc=0.6094
====iter_15600: fit=1.6086, reg=1.0212, thom=-6.9217, thomf=-7.0026, acc=0.5703
====iter_15700: fit=1.5035, reg=1.0259, thom=-6.9216, thomf=-7.0039, acc=0.6016
====iter_15800: fit=1.4571, reg=1.0298, thom=-6.9215, thomf=-7.0027, acc=0.6328
====iter_15900: fit=1.5036, reg=1.0314, thom=-6.9216, thomf=-7.0019, acc=0.5469
====iter_16000: fit=1.4121, reg=1.0272, thom=-6.9218, thomf=-7.0022, acc=0.5938
====iter_16100: fit=1.4260, reg=1.0284, thom=-6.9217, thomf=-7.0037, acc=0.6250
====iter_16200: fit=1.6496, reg=1.0300, thom=-6.9217, thomf=-7.0038, acc=0.5078
====iter_16300: fit=1.4379, reg=1.0272, thom=-6.9218, thomf=-7.0033, acc=0.6484
====iter_16400: fit=1.4787, reg=1.0229, thom=-6.9220, thomf=-7.0033, acc=0.5938
====iter_16500: fit=1.5345, reg=1.0271, thom=-6.9219, thomf=-7.0039, acc=0.5547
====iter_16600: fit=1.4335, reg=1.0253, thom=-6.9221, thomf=-7.0034, acc=0.6016
====iter_16700: fit=1.6732, reg=1.0267, thom=-6.9218, thomf=-7.0032, acc=0.5547
====iter_16800: fit=1.6679, reg=1.0272, thom=-6.9218, thomf=-7.0037, acc=0.5938
====iter_16900: fit=1.3218, reg=1.0294, thom=-6.9218, thomf=-7.0045, acc=0.6250
====iter_17000: fit=1.6985, reg=1.0342, thom=-6.9220, thomf=-7.0036, acc=0.6250
====iter_17100: fit=1.7129, reg=1.0380, thom=-6.9217, thomf=-7.0030, acc=0.5938
====iter_17200: fit=1.3857, reg=1.0373, thom=-6.9218, thomf=-7.0028, acc=0.6016
====iter_17300: fit=1.4286, reg=1.0403, thom=-6.9219, thomf=-7.0029, acc=0.6328
====iter_17400: fit=1.6107, reg=1.0406, thom=-6.9221, thomf=-7.0032, acc=0.5938
====iter_17500: fit=1.3736, reg=1.0412, thom=-6.9221, thomf=-7.0025, acc=0.6016
====iter_17600: fit=1.5064, reg=1.0394, thom=-6.9219, thomf=-7.0030, acc=0.5938
====iter_17700: fit=1.3045, reg=1.0429, thom=-6.9219, thomf=-7.0031, acc=0.6406
====iter_17800: fit=1.4567, reg=1.0441, thom=-6.9219, thomf=-7.0038, acc=0.6094
====iter_17900: fit=1.5379, reg=1.0447, thom=-6.9222, thomf=-7.0028, acc=0.6016
====iter_18000: fit=1.4170, reg=1.0431, thom=-6.9223, thomf=-7.0037, acc=0.6875
====iter_18100: fit=1.7611, reg=1.0473, thom=-6.9223, thomf=-7.0031, acc=0.5078
====iter_18200: fit=1.5002, reg=1.0493, thom=-6.9222, thomf=-7.0032, acc=0.5781
====iter_18300: fit=1.3857, reg=1.0488, thom=-6.9219, thomf=-7.0021, acc=0.6250
====iter_18400: fit=1.4535, reg=1.0483, thom=-6.9221, thomf=-7.0030, acc=0.6172
====iter_18500: fit=1.5335, reg=1.0489, thom=-6.9222, thomf=-7.0034, acc=0.5859
====iter_18600: fit=1.5197, reg=1.0496, thom=-6.9223, thomf=-7.0031, acc=0.6094
====iter_18700: fit=1.7233, reg=1.0464, thom=-6.9222, thomf=-7.0028, acc=0.5234
====iter_18800: fit=1.3722, reg=1.0484, thom=-6.9222, thomf=-7.0043, acc=0.5703
====iter_18900: fit=1.6172, reg=1.0518, thom=-6.9222, thomf=-7.0033, acc=0.6250
====iter_19000: fit=1.4542, reg=1.0559, thom=-6.9221, thomf=-7.0033, acc=0.6094
====iter_19100: fit=1.6893, reg=1.0539, thom=-6.9220, thomf=-7.0027, acc=0.5781
====iter_19200: fit=1.4760, reg=1.0533, thom=-6.9223, thomf=-7.0035, acc=0.6406
====iter_19300: fit=1.4707, reg=1.0525, thom=-6.9224, thomf=-7.0040, acc=0.6641
====iter_19400: fit=1.5348, reg=1.0517, thom=-6.9223, thomf=-7.0024, acc=0.5625
====iter_19500: fit=1.7545, reg=1.0513, thom=-6.9221, thomf=-7.0030, acc=0.5625
====iter_19600: fit=1.1935, reg=1.0521, thom=-6.9222, thomf=-7.0047, acc=0.6562
====iter_19700: fit=1.5041, reg=1.0538, thom=-6.9223, thomf=-7.0029, acc=0.6250
====iter_19800: fit=1.5619, reg=1.0546, thom=-6.9223, thomf=-7.0028, acc=0.6094
====iter_19900: fit=1.4122, reg=1.0543, thom=-6.9222, thomf=-7.0035, acc=0.5781
====iter_20000: fit=1.3948, reg=1.0579, thom=-6.9221, thomf=-7.0031, acc=0.6406
====iter_20100: fit=1.2749, reg=1.0500, thom=-6.9224, thomf=-7.0041, acc=0.6797
====iter_20200: fit=1.0688, reg=1.0410, thom=-6.9226, thomf=-7.0055, acc=0.7109
====iter_20300: fit=1.0335, reg=1.0320, thom=-6.9228, thomf=-7.0067, acc=0.7500
====iter_20400: fit=0.8197, reg=1.0235, thom=-6.9230, thomf=-7.0078, acc=0.7500
====iter_20500: fit=0.8382, reg=1.0150, thom=-6.9232, thomf=-7.0088, acc=0.7734
====iter_20600: fit=1.1281, reg=1.0062, thom=-6.9233, thomf=-7.0098, acc=0.7188
====iter_20700: fit=0.7622, reg=0.9978, thom=-6.9235, thomf=-7.0106, acc=0.8047
====iter_20800: fit=0.8370, reg=0.9898, thom=-6.9237, thomf=-7.0114, acc=0.7969
====iter_20900: fit=0.7886, reg=0.9817, thom=-6.9238, thomf=-7.0122, acc=0.7891
====iter_21000: fit=0.7377, reg=0.9734, thom=-6.9239, thomf=-7.0129, acc=0.7656
====iter_21100: fit=0.7251, reg=0.9656, thom=-6.9241, thomf=-7.0135, acc=0.8047
====iter_21200: fit=0.7015, reg=0.9579, thom=-6.9243, thomf=-7.0141, acc=0.8359
====iter_21300: fit=0.8209, reg=0.9503, thom=-6.9244, thomf=-7.0147, acc=0.7812
====iter_21400: fit=0.7551, reg=0.9425, thom=-6.9246, thomf=-7.0152, acc=0.8438
====iter_21500: fit=0.6992, reg=0.9351, thom=-6.9247, thomf=-7.0157, acc=0.8281
====iter_21600: fit=0.7582, reg=0.9279, thom=-6.9249, thomf=-7.0162, acc=0.7891
====iter_21700: fit=0.7873, reg=0.9206, thom=-6.9250, thomf=-7.0166, acc=0.7969
====iter_21800: fit=0.5790, reg=0.9134, thom=-6.9251, thomf=-7.0170, acc=0.8516
====iter_21900: fit=0.6674, reg=0.9064, thom=-6.9253, thomf=-7.0174, acc=0.8438
====iter_22000: fit=0.7355, reg=0.8996, thom=-6.9254, thomf=-7.0178, acc=0.8047
====iter_22100: fit=0.6722, reg=0.8927, thom=-6.9255, thomf=-7.0182, acc=0.8125
====iter_22200: fit=0.6845, reg=0.8858, thom=-6.9256, thomf=-7.0186, acc=0.8047
====iter_22300: fit=0.8122, reg=0.8793, thom=-6.9258, thomf=-7.0188, acc=0.8047
====iter_22400: fit=0.5953, reg=0.8729, thom=-6.9259, thomf=-7.0191, acc=0.8438
====iter_22500: fit=0.6065, reg=0.8665, thom=-6.9260, thomf=-7.0194, acc=0.8359
====iter_22600: fit=0.6053, reg=0.8600, thom=-6.9261, thomf=-7.0197, acc=0.8438
====iter_22700: fit=0.5979, reg=0.8540, thom=-6.9262, thomf=-7.0200, acc=0.8281
====iter_22800: fit=0.5873, reg=0.8478, thom=-6.9264, thomf=-7.0202, acc=0.8594
====iter_22900: fit=0.5491, reg=0.8416, thom=-6.9265, thomf=-7.0204, acc=0.8438
====iter_23000: fit=0.7379, reg=0.8354, thom=-6.9266, thomf=-7.0206, acc=0.8359
====iter_23100: fit=0.6481, reg=0.8298, thom=-6.9267, thomf=-7.0208, acc=0.7891
====iter_23200: fit=0.5009, reg=0.8240, thom=-6.9267, thomf=-7.0210, acc=0.8594
====iter_23300: fit=0.5655, reg=0.8182, thom=-6.9269, thomf=-7.0212, acc=0.8359
====iter_23400: fit=0.5879, reg=0.8126, thom=-6.9270, thomf=-7.0214, acc=0.8672
====iter_23500: fit=0.4509, reg=0.8073, thom=-6.9271, thomf=-7.0216, acc=0.8828
====iter_23600: fit=0.6842, reg=0.8019, thom=-6.9272, thomf=-7.0218, acc=0.8203
====iter_23700: fit=0.6557, reg=0.7965, thom=-6.9273, thomf=-7.0219, acc=0.8125
====iter_23800: fit=0.6610, reg=0.7912, thom=-6.9274, thomf=-7.0221, acc=0.8359
====iter_23900: fit=0.5170, reg=0.7862, thom=-6.9275, thomf=-7.0223, acc=0.8672
====iter_24000: fit=0.4398, reg=0.7811, thom=-6.9276, thomf=-7.0225, acc=0.8906
====iter_24100: fit=0.5984, reg=0.7762, thom=-6.9277, thomf=-7.0226, acc=0.8281
====iter_24200: fit=0.5857, reg=0.7712, thom=-6.9278, thomf=-7.0227, acc=0.8438
====iter_24300: fit=0.4256, reg=0.7664, thom=-6.9279, thomf=-7.0229, acc=0.8906
====iter_24400: fit=0.6606, reg=0.7617, thom=-6.9280, thomf=-7.0230, acc=0.8203
====iter_24500: fit=0.6646, reg=0.7569, thom=-6.9281, thomf=-7.0231, acc=0.8125
====iter_24600: fit=0.4090, reg=0.7522, thom=-6.9282, thomf=-7.0233, acc=0.8984
====iter_24700: fit=0.5157, reg=0.7478, thom=-6.9283, thomf=-7.0234, acc=0.8672
====iter_24800: fit=0.3496, reg=0.7434, thom=-6.9283, thomf=-7.0235, acc=0.9141
====iter_24900: fit=0.4496, reg=0.7392, thom=-6.9284, thomf=-7.0236, acc=0.8984
====iter_25000: fit=0.4322, reg=0.7349, thom=-6.9285, thomf=-7.0237, acc=0.8906
====iter_25100: fit=0.5443, reg=0.7307, thom=-6.9286, thomf=-7.0237, acc=0.8438
====iter_25200: fit=0.5516, reg=0.7264, thom=-6.9287, thomf=-7.0238, acc=0.8516
====iter_25300: fit=0.5846, reg=0.7223, thom=-6.9288, thomf=-7.0239, acc=0.8438
====iter_25400: fit=0.5082, reg=0.7183, thom=-6.9288, thomf=-7.0240, acc=0.8359
====iter_25500: fit=0.4972, reg=0.7144, thom=-6.9289, thomf=-7.0241, acc=0.8828
====iter_25600: fit=0.4616, reg=0.7104, thom=-6.9290, thomf=-7.0242, acc=0.8672
