====iter_19400: fit=1.2489, reg=1.0042, thom=-0.6926, thomf=-0.6946, acc=0.6406
====iter_19500: fit=1.2777, reg=1.0072, thom=-0.6926, thomf=-0.6946, acc=0.6484
====iter_19600: fit=1.1714, reg=1.0107, thom=-0.6925, thomf=-0.6949, acc=0.6641
====iter_19700: fit=1.5472, reg=1.0124, thom=-0.6925, thomf=-0.6949, acc=0.6016
====iter_19800: fit=1.5498, reg=1.0119, thom=-0.6926, thomf=-0.6948, acc=0.5547
====iter_19900: fit=1.4383, reg=1.0092, thom=-0.6927, thomf=-0.6949, acc=0.5859
====iter_20000: fit=1.5518, reg=1.0121, thom=-0.6925, thomf=-0.6948, acc=0.5547
====iter_20100: fit=1.2456, reg=1.0046, thom=-0.6925, thomf=-0.6949, acc=0.6562
====iter_20200: fit=1.1466, reg=0.9960, thom=-0.6925, thomf=-0.6950, acc=0.7500
====iter_20300: fit=0.8433, reg=0.9875, thom=-0.6925, thomf=-0.6951, acc=0.7656
====iter_20400: fit=0.9068, reg=0.9796, thom=-0.6926, thomf=-0.6952, acc=0.7422
====iter_20500: fit=0.9116, reg=0.9714, thom=-0.6926, thomf=-0.6953, acc=0.7578
====iter_20600: fit=0.8744, reg=0.9632, thom=-0.6926, thomf=-0.6954, acc=0.7891
====iter_20700: fit=0.6851, reg=0.9551, thom=-0.6926, thomf=-0.6955, acc=0.8359
====iter_20800: fit=0.7351, reg=0.9475, thom=-0.6926, thomf=-0.6956, acc=0.7969
====iter_20900: fit=0.6886, reg=0.9396, thom=-0.6927, thomf=-0.6957, acc=0.8438
====iter_21000: fit=0.6988, reg=0.9318, thom=-0.6927, thomf=-0.6958, acc=0.8203
====iter_21100: fit=0.7255, reg=0.9244, thom=-0.6927, thomf=-0.6959, acc=0.7812
====iter_21200: fit=0.7676, reg=0.9172, thom=-0.6927, thomf=-0.6960, acc=0.7656
====iter_21300: fit=0.7632, reg=0.9096, thom=-0.6927, thomf=-0.6961, acc=0.8047
====iter_21400: fit=0.9627, reg=0.9024, thom=-0.6927, thomf=-0.6962, acc=0.7344
====iter_21500: fit=0.7663, reg=0.8954, thom=-0.6928, thomf=-0.6963, acc=0.8281
====iter_21600: fit=0.6110, reg=0.8885, thom=-0.6928, thomf=-0.6964, acc=0.8125
====iter_21700: fit=0.8984, reg=0.8815, thom=-0.6929, thomf=-0.6964, acc=0.7969
====iter_21800: fit=0.5400, reg=0.8746, thom=-0.6929, thomf=-0.6965, acc=0.8672
====iter_21900: fit=0.7907, reg=0.8679, thom=-0.6929, thomf=-0.6966, acc=0.7812
====iter_22000: fit=0.7763, reg=0.8614, thom=-0.6929, thomf=-0.6967, acc=0.7422
====iter_22100: fit=0.7329, reg=0.8549, thom=-0.6929, thomf=-0.6967, acc=0.8047
====iter_22200: fit=0.4954, reg=0.8483, thom=-0.6929, thomf=-0.6968, acc=0.8750
====iter_22300: fit=0.6514, reg=0.8422, thom=-0.6930, thomf=-0.6969, acc=0.8359
====iter_22400: fit=0.8651, reg=0.8360, thom=-0.6930, thomf=-0.6970, acc=0.8125
====iter_22500: fit=0.9120, reg=0.8296, thom=-0.6930, thomf=-0.6970, acc=0.7812
====iter_22600: fit=0.5579, reg=0.8235, thom=-0.6930, thomf=-0.6971, acc=0.8672
====iter_22700: fit=0.5751, reg=0.8178, thom=-0.6930, thomf=-0.6972, acc=0.8203
====iter_22800: fit=0.5546, reg=0.8119, thom=-0.6930, thomf=-0.6972, acc=0.8438
====iter_22900: fit=0.5615, reg=0.8061, thom=-0.6931, thomf=-0.6973, acc=0.8594
====iter_23000: fit=0.7239, reg=0.8003, thom=-0.6931, thomf=-0.6973, acc=0.7969
====iter_23100: fit=0.5655, reg=0.7949, thom=-0.6931, thomf=-0.6974, acc=0.8438
====iter_23200: fit=0.5362, reg=0.7894, thom=-0.6931, thomf=-0.6975, acc=0.8750
====iter_23300: fit=0.5316, reg=0.7841, thom=-0.6931, thomf=-0.6975, acc=0.8672
====iter_23400: fit=0.4203, reg=0.7784, thom=-0.6932, thomf=-0.6976, acc=0.9062
====iter_23500: fit=0.5567, reg=0.7734, thom=-0.6932, thomf=-0.6976, acc=0.8672
====iter_23600: fit=0.5720, reg=0.7683, thom=-0.6932, thomf=-0.6977, acc=0.8594
====iter_23700: fit=0.5371, reg=0.7631, thom=-0.6932, thomf=-0.6977, acc=0.8516
====iter_23800: fit=0.4699, reg=0.7579, thom=-0.6933, thomf=-0.6978, acc=0.8672
====iter_23900: fit=0.4873, reg=0.7531, thom=-0.6933, thomf=-0.6978, acc=0.8594
====iter_24000: fit=0.5862, reg=0.7482, thom=-0.6933, thomf=-0.6979, acc=0.8438
====iter_24100: fit=0.3999, reg=0.7434, thom=-0.6933, thomf=-0.6979, acc=0.8984
====iter_24200: fit=0.3686, reg=0.7388, thom=-0.6933, thomf=-0.6980, acc=0.8906
====iter_24300: fit=0.5531, reg=0.7344, thom=-0.6933, thomf=-0.6980, acc=0.8594
====iter_24400: fit=0.4817, reg=0.7299, thom=-0.6933, thomf=-0.6981, acc=0.9141
====iter_24500: fit=0.6486, reg=0.7253, thom=-0.6933, thomf=-0.6981, acc=0.7891
====iter_24600: fit=0.4358, reg=0.7210, thom=-0.6934, thomf=-0.6981, acc=0.8828
====iter_24700: fit=0.6150, reg=0.7168, thom=-0.6934, thomf=-0.6982, acc=0.8672
====iter_24800: fit=0.5208, reg=0.7126, thom=-0.6934, thomf=-0.6982, acc=0.8516
====iter_24900: fit=0.4434, reg=0.7083, thom=-0.6934, thomf=-0.6983, acc=0.9062
====iter_25000: fit=0.4270, reg=0.7043, thom=-0.6934, thomf=-0.6983, acc=0.8906
====iter_25100: fit=0.5702, reg=0.7004, thom=-0.6934, thomf=-0.6983, acc=0.8672
====iter_25200: fit=0.4610, reg=0.6964, thom=-0.6934, thomf=-0.6984, acc=0.8594
====iter_25300: fit=0.6056, reg=0.6924, thom=-0.6935, thomf=-0.6984, acc=0.8125
====iter_25400: fit=0.4256, reg=0.6887, thom=-0.6935, thomf=-0.6984, acc=0.8906
====iter_25500: fit=0.4853, reg=0.6850, thom=-0.6934, thomf=-0.6984, acc=0.8750
====iter_25600: fit=0.5183, reg=0.6813, thom=-0.6935, thomf=-0.6985, acc=0.8516
====iter_25700: fit=0.5970, reg=0.6776, thom=-0.6935, thomf=-0.6985, acc=0.8281
====iter_25800: fit=0.3741, reg=0.6741, thom=-0.6935, thomf=-0.6986, acc=0.8906
====iter_25900: fit=0.5125, reg=0.6706, thom=-0.6935, thomf=-0.6986, acc=0.8828
====iter_26000: fit=0.5759, reg=0.6672, thom=-0.6935, thomf=-0.6986, acc=0.8438
====iter_26100: fit=0.4140, reg=0.6639, thom=-0.6935, thomf=-0.6987, acc=0.9062
====iter_26200: fit=0.4591, reg=0.6606, thom=-0.6935, thomf=-0.6987, acc=0.8828
====iter_26300: fit=0.3181, reg=0.6575, thom=-0.6936, thomf=-0.6987, acc=0.9375
====iter_26400: fit=0.6790, reg=0.6543, thom=-0.6936, thomf=-0.6987, acc=0.8516
====iter_26500: fit=0.4080, reg=0.6511, thom=-0.6936, thomf=-0.6988, acc=0.8984
====iter_26600: fit=0.5264, reg=0.6481, thom=-0.6936, thomf=-0.6988, acc=0.8516
====iter_26700: fit=0.4779, reg=0.6450, thom=-0.6936, thomf=-0.6988, acc=0.8672
====iter_26800: fit=0.4837, reg=0.6420, thom=-0.6936, thomf=-0.6988, acc=0.8750
====iter_26900: fit=0.3677, reg=0.6390, thom=-0.6937, thomf=-0.6989, acc=0.9141
====iter_27000: fit=0.4491, reg=0.6363, thom=-0.6937, thomf=-0.6989, acc=0.8984
====iter_27100: fit=0.4538, reg=0.6335, thom=-0.6937, thomf=-0.6989, acc=0.8984
====iter_27200: fit=0.4884, reg=0.6307, thom=-0.6937, thomf=-0.6989, acc=0.8594
====iter_27300: fit=0.4409, reg=0.6280, thom=-0.6937, thomf=-0.6989, acc=0.8906
====iter_27400: fit=0.4615, reg=0.6255, thom=-0.6937, thomf=-0.6990, acc=0.8594
====iter_27500: fit=0.3666, reg=0.6229, thom=-0.6937, thomf=-0.6990, acc=0.9297
====iter_27600: fit=0.4581, reg=0.6204, thom=-0.6937, thomf=-0.6990, acc=0.8906
====iter_27700: fit=0.4880, reg=0.6178, thom=-0.6938, thomf=-0.6990, acc=0.8672
====iter_27800: fit=0.5039, reg=0.6155, thom=-0.6937, thomf=-0.6991, acc=0.8984
====iter_27900: fit=0.3819, reg=0.6131, thom=-0.6938, thomf=-0.6991, acc=0.9297
====iter_28000: fit=0.6228, reg=0.6108, thom=-0.6938, thomf=-0.6991, acc=0.8203
